elementId,processId,task,event_type,timestamp,caseid,resourceId,user,etype
Task_1mwrpiw,Process_1,A,start,2020-05-06 15:22:05.116,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1mwrpiw,Process_1,A,complete,2020-05-06 15:53:18.495,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1w88vmv,Process_1,B,start,2020-05-06 16:53:21.634,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1w88vmv,Process_1,B,complete,2020-05-06 17:04:22.873,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1f0rzqa,Process_1,E,start,2020-05-06 18:03:28.683,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_0dfp9e9,Process_1,F,start,2020-05-06 18:21:38.333,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1f0rzqa,Process_1,E,complete,2020-05-06 18:21:38.333,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1xhajjz,Process_1,C,start,2020-05-06 18:22:29.552,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_0dfp9e9,Process_1,F,complete,2020-05-06 18:22:29.552,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1u4gdar,Process_1,D,start,2020-05-06 18:27:37.530,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1xhajjz,Process_1,C,complete,2020-05-06 18:27:37.530,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1yczilm,Process_1,H,start,2020-05-06 18:57:58.034,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1u4gdar,Process_1,D,complete,2020-05-06 18:57:58.034,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_0pf3qxv,Process_1,G,start,2020-05-06 19:15:03.569,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1yczilm,Process_1,H,complete,2020-05-06 19:15:03.569,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_0pf3qxv,Process_1,G,complete,2020-05-06 19:31:28.398,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1eucwiz,Process_1,I,start,2020-05-06 19:56:50.235,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1eucwiz,Process_1,I,complete,2020-05-06 19:57:50.235,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_17qz3y7,Process_1,J,start,2020-05-06 21:45:49.043,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_17qz3y7,Process_1,J,complete,2020-05-06 22:02:13.596,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_19qrdf3,Process_1,K,start,2020-05-06 22:05:15.596,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_19qrdf3,Process_1,K,complete,2020-05-06 22:05:17.596,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_0tkh9qf,Process_1,M,start,2020-05-06 22:23:46.358,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_0tkh9qf,Process_1,M,complete,2020-05-06 22:50:45.980,192,QBP_DEFAULT_RESOURCE,ABC-000001,Task
Task_1abbjnw,Process_1,U,start,2020-05-06 22:50:45.980,192,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,GHI-000002,Task
Task_1abbjnw,Process_1,U,complete,2020-05-06 23:01:49.934,192,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,GHI-000002,Task
Task_0oq0sec,Process_1,V,start,2020-05-06 23:01:49.934,192,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,GHI-000003,Task
Task_0oq0sec,Process_1,V,complete,2020-05-07 04:16:24.034,192,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,GHI-000003,Task
Task_0qw0y7l,Process_1,X,start,2020-05-07 04:16:24.034,192,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,GHI-000001,Task
Task_0qw0y7l,Process_1,X,complete,2020-05-07 04:31:04.220,192,qbp_e79fc9c0-b70d-4c52-acb5-7a2416e6086c,GHI-000001,Task
Task_00cy468,Process_1,R,start,2020-05-07 04:31:04.220,192,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,DEF-000003,Task
Task_00cy468,Process_1,R,complete,2020-05-07 07:26:36.675,192,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,DEF-000003,Task
Task_0iex542,Process_1,S,start,2020-05-07 07:26:36.675,192,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,DEF-000003,Task
Task_0iex542,Process_1,S,complete,2020-05-07 07:30:29.694,192,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,DEF-000003,Task
Task_02gig04,Process_1,T,start,2020-05-07 07:30:29.694,192,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,DEF-000003,Task
Task_02gig04,Process_1,T,complete,2020-05-07 07:30:36.814,192,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,DEF-000003,Task
